external_ref_id,sku,model_name_variant,component_alias,source_system,confidence_flag
EXT-a7ccc1d8,T1-SSD-0077,TravelLite 12,SSD Storage,Legacy ERP,verified
EXT-2a9b1e80,N2-KB-0080,nimbuspad 2-in-1,Keyboard Assembly,PLM Export,verified
EXT-210e29b1,N2-RAM-0019,NimbusPad 2-in-1,RAM MODULE,Legacy ERP,unverified
EXT-8b990abc,T1-MB-0041,TravelLite 12,Motherboard,Manual Entry,needs_review
EXT-119a6966,AA1-RAM-0031,aerobook air 13,RAM,Vendor Portal,verified
EXT-bf071346,N2-KB-0061,NimbusPad 2-in-1,Keyboard Assembly,Vendor Portal,verified
EXT-3395e589,AA1-CAM-0076,AeroBook Air 13 (Legacy),WEBCAM MODULE,Vendor Portal,needs_review
EXT-6fe56a4b,AA1-FAN-0056,AEROBOOK AIR 13,Cooling Fan,Legacy ERP,verified
EXT-9379bc48,T1G-CAM-0230,TitanForce15Gaming,Webcam_Module,PLM Export,needs_review
EXT-48b03ce0,WEX-FAN-0065,WorkHorse EliteBook X,COOLING FAN,Manual Entry,needs_review
EXT-33fee45a,AP1-MB-0300,AeroBook Pro 14,Motherboard,Vendor Portal,unverified
EXT-7ccbbc87,N2-CAM-0038,NimbusPad 2-in-1 (Legacy),Webcam Module,Manual Entry,verified
EXT-8ee08002,WEX-BAT-0145,WorkHorseEliteBookX,BATTERY,Manual Entry,needs_review
EXT-4ee7eb92,T1G-BAT-0171,titanforce 15 gaming,BATTERY,Manual Entry,needs_review
EXT-cd275883,N2-DSP-0164,NimbusPad,DSP,Vendor Portal,needs_review
EXT-7ca2f753,WEX-MB-0123,WorkHorse Elite Book X,MOTHERBOARD,Legacy ERP,verified
EXT-35b2c79e,T1-CAM-0247,TravelLite,WEBCAM MODULE,Legacy ERP,needs_review
EXT-5e4ea601,AA1-RAM-0223,AeroBook Air 13,RAM Module,Vendor Portal,needs_review
EXT-8386243c,WEX-MB-0210,WorkHorse Elite Book X,MB,Legacy ERP,unverified
EXT-9cc7ff6f,T1-FAN-0063,TravelLite,Cooling Fan,PLM Export,verified
EXT-5016d175,WEX-DSP-0155,WorkHorse EliteBook X,Display Panel,PLM Export,unverified
EXT-30bec9de,WEX-SSD-0108,WorkHorse,SSD_Storage,Legacy ERP,needs_review
EXT-4e39c0f3,AA1-CAM-0243,AEROBOOK AIR 13,Webcam_Module,PLM Export,unverified
EXT-50626ff5,T1-BAT-0018,TravelLite 12,BAT,Vendor Portal,verified
EXT-647861ca,AA1-BAT-0187,aerobook air 13,Battery,Vendor Portal,needs_review
EXT-7dbb6728,WEX-CAM-0081,WorkHorseEliteBookX,Webcam_Module,Manual Entry,verified
EXT-2c3f61ec,AP1-KB-0201,AeroBook Pro 14,Keyboard_Assembly,Manual Entry,verified
EXT-aedd35f8,AA1-DSP-0099,AeroBook Air 13,Display_Panel,Legacy ERP,unverified
EXT-c16a28ba,N2-RAM-0177,NimbusPad 2-in-1,RAM_Module,Manual Entry,verified
EXT-3af98eb4,T1-DSP-0034,TRAVELLITE 12,Display_Panel,Vendor Portal,verified
EXT-ccce5c72,T1-CAM-0026,travellite 12,WEBCAM MODULE,Legacy ERP,unverified
EXT-86a30257,AA1-BAT-0017,aerobook air 13,Battery,Vendor Portal,unverified
EXT-eb1d9491,AP1-CAM-0130,AeroBook Pro 14,Webcam Module,PLM Export,needs_review
EXT-b9a7e70b,AP1-DSP-0200,AeroBook Pro. 14,Display Panel,PLM Export,verified
EXT-6bb3fac7,AP1-BAT-0096,AeroBook Pro 14,Battery,Legacy ERP,needs_review
EXT-99b1b984,T1G-SSD-0255,TitanForce 15 Gaming,SSD_Storage,Vendor Portal,verified
EXT-40c563bb,T1-FAN-0238,TravelLite 12 (Legacy),Cooling Fan,Vendor Portal,unverified
EXT-d2332227,AP1-RAM-0204,aerobook pro 14,RAM_Module,Vendor Portal,needs_review
EXT-107f6478,WEX-MB-0166,WORKHORSE ELITEBOOK X,MOTHERBOARD,Legacy ERP,verified
EXT-ad9205f3,T1G-DSP-0231,TITANFORCE 15 GAMING,Display Panel,Manual Entry,verified
EXT-e3c27f51,T1-DSP-0069,TravelLite,Display_Panel,Manual Entry,needs_review
EXT-69c1df62,T1-MB-0168,travellite 12,Motherboard,PLM Export,needs_review
EXT-e5b0d703,N2-DSP-0217,NimbusPad 2-in-1,DISPLAY PANEL,Legacy ERP,unverified
EXT-a32b32b7,WEX-BAT-0162,WorkHorseEliteBookX,BATTERY,Legacy ERP,needs_review
EXT-d87b2e70,AA1-DSP-0095,AEROBOOK AIR 13,DSP,PLM Export,needs_review
EXT-f2467496,T1-DSP-0002,TravelLite12,DISPLAY PANEL,PLM Export,unverified
EXT-625d7880,AA1-DSP-0283,AEROBOOK AIR 13,Display_Panel,PLM Export,unverified
EXT-aeb44ec3,WEX-CAM-0274,WorkHorse EliteBook X,WEBCAM MODULE,Legacy ERP,unverified
EXT-6298a26e,WEX-DSP-0043,WorkHorse EliteBook X,DSP,PLM Export,needs_review
EXT-51dffeaa,WEX-CAM-0245,WorkHorse EliteBook X,Webcam_Module,PLM Export,unverified
EXT-fb42f519,T1-RAM-0291,TravelLite 12 (Legacy),RAM_Module,Vendor Portal,verified
EXT-6f664b9e,AA1-KB-0107,aerobook air 13,KB,Vendor Portal,needs_review
EXT-9514c721,T1G-SSD-0024,TitanForce,SSD Storage,Legacy ERP,unverified
EXT-4acb8ceb,AA1-MB-0125,AeroBook Air 13,Motherboard,PLM Export,needs_review
EXT-680c8ce9,WEX-KB-0225,WorkHorseEliteBookX,Keyboard Assembly,PLM Export,verified
EXT-67d6a91f,AA1-FAN-0086,AEROBOOK AIR 13,COOLING FAN,PLM Export,needs_review
EXT-1e7d7745,AA1-RAM-0289,AEROBOOK AIR 13,RAM Module,Manual Entry,verified
EXT-0a58683c,T1-DSP-0011,TravelLite 12,Display_Panel,Legacy ERP,needs_review
EXT-13346fe1,T1G-CAM-0227,TITANFORCE 15 GAMING,WEBCAM MODULE,Legacy ERP,needs_review
EXT-269283d0,N2-SSD-0036,NIMBUSPAD 2-IN-1,SSD,Legacy ERP,unverified
EXT-a3d3efc2,T1-SSD-0062,TravelLite 12,SSD,PLM Export,verified
EXT-efa1d170,WEX-RAM-0132,workhorse elitebook x,RAM_Module,Vendor Portal,unverified
EXT-daec547c,AA1-DSP-0280,AeroBook Air 13 (Legacy),Display_Panel,Manual Entry,needs_review
EXT-90cb90e5,AA1-RAM-0127,AeroBook Air 13,RAM MODULE,PLM Export,unverified
EXT-1c5a2f26,AP1-RAM-0072,AeroBook Pro 14,RAM MODULE,PLM Export,unverified
EXT-3581f51a,T1G-FAN-0233,TitanForce,Cooling_Fan,Manual Entry,verified
EXT-b1503e43,AA1-RAM-0052,AeroBook Ar 13,RAM Module,Manual Entry,unverified
EXT-33149f10,WEX-SSD-0185,WorkHorseEliteBookX,SSD Storage,Legacy ERP,needs_review
EXT-4c73d9a8,WEX-DSP-0047,WorkHorse,Display_Panel,PLM Export,unverified
EXT-3fc0f187,WEX-BAT-0249,workhorse elitebook x,Battery,PLM Export,unverified
EXT-f08b4d14,N2-KB-0010,NimbusPad 2-in-1,KEYBOARD ASSEMBLY,Manual Entry,verified
EXT-1666c595,N2-FAN-0198,NimbusPad,Cooling Fan,Manual Entry,unverified
EXT-5290a1d7,AP1-SSD-0003,AeroBook Pro 14,SSD STORAGE,Manual Entry,verified
EXT-90cff4bb,AP1-SSD-0257,AeroBook Pro 14,SSD,Manual Entry,unverified
EXT-6ce414d2,AA1-CAM-0093,AeroBookAir13,CAM,PLM Export,unverified
EXT-7eb9b6fa,T1G-SSD-0183,TitanForce15Gaming,SSD Storage,PLM Export,needs_review
EXT-3e697a81,N2-FAN-0088,NimbusPad,FAN,PLM Export,needs_review
EXT-8f68939d,WEX-MB-0205,WorkHorse EliteBook X,MOTHERBOARD,Legacy ERP,unverified
EXT-ef179826,T1G-FAN-0158,TitanForce 15 Gaming,Cooling_Fan,Legacy ERP,unverified
EXT-d0e4af18,AP1-KB-0266,AeroBook Pro 14,Keyboard_Assembly,Manual Entry,verified
EXT-112f70f8,WEX-FAN-0087,workhorse elitebook x,Cooling Fan,PLM Export,unverified
EXT-08a7da7e,T1-DSP-0001,TravelLite 12,DISPLAY PANEL,PLM Export,needs_review
EXT-06648e37,AA1-SSD-0027,AeroBook,SSD Storage,PLM Export,verified
EXT-c5b4e616,AA1-RAM-0124,AeroBook Air 13,RAM,Vendor Portal,verified
EXT-e834af65,WEX-MB-0229,WorkHorse,MOTHERBOARD,PLM Export,verified
EXT-de53de3b,N2-DSP-0212,NimbusPad 2-in-1,DSP,Vendor Portal,needs_review
EXT-a8142bf9,AA1-RAM-0129,AeroBook Ar 13,RAM MODULE,Manual Entry,needs_review
EXT-5fe46c4e,T1G-DSP-0234,TitanForce 15 Gaming,Display Panel,Manual Entry,unverified
EXT-5d66b919,AP1-BAT-0055,AeroBook Pro. 14,BATTERY,Vendor Portal,verified
EXT-57dcab82,AA1-RAM-0244,AeroBook Air 13,RAM_Module,Manual Entry,verified
EXT-7bffd6b2,AP1-KB-0251,AeroBook Pro 14,Keyboard_Assembly,Manual Entry,verified
EXT-00f9e4ed,T1-KB-0175,TravelLite 12 (Legacy),Keyboard Assembly,Legacy ERP,verified
EXT-a9f73e6b,T1-BAT-0169,TravelLite12,BATTERY,Manual Entry,verified
EXT-35b4373a,AP1-BAT-0189,AeroBook Pro. 14,BAT,Manual Entry,needs_review
EXT-6f2febfe,AP1-CAM-0191,aerobook pro 14,Webcam Module,Manual Entry,needs_review
EXT-eb9a7e0c,N2-KB-0268,NimbusPad2-in-1,KEYBOARD ASSEMBLY,PLM Export,verified
EXT-1df3d233,T1-BAT-0071,TravelLite 12,Battery,Legacy ERP,unverified
EXT-705d3e10,AP1-BAT-0136,AEROBOOK PRO 14,BAT,Legacy ERP,unverified
EXT-f473eb85,T1-KB-0101,TravelLite,KEYBOARD ASSEMBLY,Legacy ERP,unverified
EXT-546f8554,T1-CAM-0203,TravelLite 12,Webcam Module,Legacy ERP,unverified
EXT-3cb4c7e8,N2-MB-0152,NimbusPad 2-in-1,MOTHERBOARD,Legacy ERP,unverified
EXT-a92d450a,T1-RAM-0157,TravelLite 12,RAM MODULE,Legacy ERP,unverified
EXT-b6c2dbaf,T1-RAM-0199,TravelLite 12,RAM,Vendor Portal,verified
EXT-bda86c34,AP1-BAT-0051,aerobook pro 14,BATTERY,Vendor Portal,verified
EXT-bb878138,T1-CAM-0112,TravelLite 12 (Legacy),Webcam_Module,Vendor Portal,unverified
EXT-ec5207e9,AP1-BAT-0188,AeroBook Pro 14,BATTERY,Legacy ERP,needs_review
EXT-cb5f3e24,T1-BAT-0278,travellite 12,Battery,Vendor Portal,verified
EXT-c075850c,T1-BAT-0117,TravelLite12,BATTERY,PLM Export,needs_review
EXT-1b1f5a58,T1-BAT-0235,TRAVELLITE 12,BATTERY,PLM Export,verified
EXT-4f84b7e8,T1-CAM-0267,TravelLite 12,WEBCAM MODULE,Vendor Portal,unverified
EXT-12e69a93,T1-SSD-0141,TRAVELLITE 12,SSD,PLM Export,needs_review
EXT-f9762ea4,AA1-RAM-0075,AeroBookAir13,RAM Module,Legacy ERP,needs_review
EXT-0a988b62,N2-MB-0138,NimbusPad 2-in-1,Motherboard,Vendor Portal,needs_review
EXT-8c24f873,N2-FAN-0193,NimbusPad 2-in-1 (Legacy),COOLING FAN,Legacy ERP,verified
EXT-2bd6c06a,AA1-CAM-0012,AeroBook,CAM,Legacy ERP,verified
EXT-7ace8ccb,T1G-CAM-0073,TitanForce 15 Gaming,Webcam Module,PLM Export,needs_review
EXT-c6776b90,T1G-RAM-0282,TitanForce 15 Gaming (Legacy),RAM Module,Legacy ERP,verified
EXT-5d72cfae,AA1-FAN-0005,AeroBook Air 13,Cooling Fan,PLM Export,unverified
EXT-feeb9026,AA1-DSP-0105,aerobook air 13,DSP,PLM Export,needs_review
EXT-2dc94163,AA1-KB-0151,AeroBookAir13,Keyboard_Assembly,Vendor Portal,unverified
EXT-48d4842d,N2-RAM-0161,NimbusPad2-in-1,RAM MODULE,Manual Entry,unverified
EXT-53035cb4,AP1-FAN-0269,AeroBookPro14,FAN,Vendor Portal,unverified
EXT-e32cfef1,N2-CAM-0122,NimbusPad 2-in-1,WEBCAM MODULE,Legacy ERP,verified
