sku,laptop_model,component_name,component_code,manufacturer,unit_cost_usd,units_shipped,warranty_period_months,release_date
T1-DSP-0001,TravelLite 12,Display Panel,DSP,Foxlink Corp,165.21,8524,12,2022-05-23
T1-DSP-0002,TravelLite 12,Display Panel,DSP,Pegatron,26.43,14325,12,2022-01-31
AP1-SSD-0003,AeroBook Pro 14,SSD Storage,SSD,Delta Electronics,115.14,1369,36,2022-07-23
T1-FAN-0004,TravelLite 12,Cooling Fan,FAN,Delta Electronics,103.23,9615,12,2024-02-17
AA1-FAN-0005,AeroBook Air 13,Cooling Fan,FAN,Wistron,66.91,7555,24,2022-04-15
AP1-FAN-0006,AeroBook Pro 14,Cooling Fan,FAN,Foxlink Corp,84.1,11770,36,2022-09-28
AP1-CAM-0007,AeroBook Pro 14,Webcam Module,CAM,Pegatron,34.46,12903,12,2023-07-20
T1G-KB-0008,TitanForce 15 Gaming,Keyboard Assembly,KB,Pegatron,48.77,2779,12,2023-11-09
AA1-RAM-0009,AeroBook Air 13,RAM Module,RAM,Foxlink Corp,189.33,3809,24,2022-10-12
N2-KB-0010,NimbusPad 2-in-1,Keyboard Assembly,KB,Delta Electronics,86.48,7365,36,2022-10-01
T1-DSP-0011,TravelLite 12,Display Panel,DSP,Pegatron,142.62,18002,36,2022-09-08
AA1-CAM-0012,AeroBook Air 13,Webcam Module,CAM,Quanta Computer,65.23,18750,12,2023-12-03
T1G-MB-0013,TitanForce 15 Gaming,Motherboard,MB,Delta Electronics,182.22,10836,24,2022-10-02
AP1-SSD-0014,AeroBook Pro 14,SSD Storage,SSD,Pegatron,193.79,10811,12,2023-11-03
N2-FAN-0015,NimbusPad 2-in-1,Cooling Fan,FAN,Quanta Computer,38.29,5075,12,2024-02-02
WEX-RAM-0016,WorkHorse EliteBook X,RAM Module,RAM,Pegatron,98.83,19621,24,2023-01-06
AA1-BAT-0017,AeroBook Air 13,Battery,BAT,Pegatron,112.63,2043,12,2022-06-06
T1-BAT-0018,TravelLite 12,Battery,BAT,Quanta Computer,134.44,13108,24,2023-09-03
N2-RAM-0019,NimbusPad 2-in-1,RAM Module,RAM,Pegatron,190.49,876,36,2024-01-09
AP1-RAM-0020,AeroBook Pro 14,RAM Module,RAM,Wistron,31.65,14746,12,2023-04-10
AP1-RAM-0021,AeroBook Pro 14,RAM Module,RAM,Pegatron,169.54,17135,12,2024-06-10
T1-RAM-0022,TravelLite 12,RAM Module,RAM,Pegatron,137.1,5508,24,2024-02-20
AA1-MB-0023,AeroBook Air 13,Motherboard,MB,Pegatron,76.72,1138,12,2023-01-07
T1G-SSD-0024,TitanForce 15 Gaming,SSD Storage,SSD,Foxlink Corp,59.06,19091,12,2022-03-29
T1-CAM-0025,TravelLite 12,Webcam Module,CAM,Foxlink Corp,215.33,17955,12,2022-05-12
T1-CAM-0026,TravelLite 12,Webcam Module,CAM,Pegatron,43.01,17790,36,2023-03-10
AA1-SSD-0027,AeroBook Air 13,SSD Storage,SSD,Wistron,92.59,12736,24,2023-06-14
N2-DSP-0028,NimbusPad 2-in-1,Display Panel,DSP,Delta Electronics,55.64,11578,12,2023-08-26
WEX-SSD-0029,WorkHorse EliteBook X,SSD Storage,SSD,Pegatron,54.69,2826,36,2023-10-09
AP1-SSD-0030,AeroBook Pro 14,SSD Storage,SSD,Foxlink Corp,199.95,11327,12,2023-06-11
AA1-RAM-0031,AeroBook Air 13,RAM Module,RAM,Quanta Computer,53.42,4835,36,2023-08-08
WEX-CAM-0032,WorkHorse EliteBook X,Webcam Module,CAM,Delta Electronics,174.34,13838,12,2022-04-07
AP1-FAN-0033,AeroBook Pro 14,Cooling Fan,FAN,Wistron,97.8,15803,36,2022-02-25
